Variant	TaggedQueryItem
Adj_that	surprising
Adj_that	surprising
Adj_that	paramount
Adj_that	unavoidable
Adj_that	doubtful
Adj_that	apparent
Adj_that	important
Adj_that	vital
Adj_that	clear
Adj_that	probable
Adj_that	likely
Adj_that	essential
Adj_that	surprising
Adj_that	natural
Adj_that	likely
Adj_that	conceivable
Adj_that	true
Adj_that	clear
Adj_that	clear
Adj_that	surprising
Adj_that	unlikely
Adj_that	true
Adj_that	surprising
Adj_that	apparent
Adj_that	clear
Adj_that	conceivable
Adj_that	surprising
Adj_that	clear
Adj_that	likely
Adj_that	apparent
Adj_that	unlikely
Adj_that	plausible
Adj_that	possible
Adj_that	interesting
Adj_that	funny
Adj_that	clear
Adj_that	impossible
Adj_that	apparent
Adj_that	possible
Adj_that	apparent
Adj_that	likely
Adj_that	clear
Adj_that	obvious
Adj_that	clear
Adj_that	possible
Adj_that	possible
Adj_that	clear
Adj_that	undeniable
Adj_that	possible
Adj_that	clear
Adj_that	possible
Adj_that	clear
Adj_that	true
Adj_that	clear
Adj_that	important
Adj_that	important
Adj_that	evident
Adj_that	possible
Adj_that	undeniable
Adj_that	clear
Adj_that	apparent
Adj_that	important
Adj_that	apparent
Adj_that	vital
Adj_that	possible
Adj_that	essential
Adj_that	ironic
Adj_that	clear
Adj_that	likely
Adj_that	evident
Adj_that	arguable
Adj_that	plausible
Adj_that	doubtful
Adj_that	clear
Adj_that	apparent
Adj_that	likely
Adj_that	unlikely
Adj_that	likely
Adj_that	surprising
Adj_that	clear
Adj_that	noteworthy
Adj_that	possible
Adj_that	important
Adj_that	crucial
Adj_that	appropriate
Adj_that	evident
Adj_that	likely
Adj_that	possible
Adj_that	clear
Adj_that	clear
Adj_that	important
Adj_that	clear
Adj_that	important
Adj_that	inevitable
Adj_that	probable
Adj_that	unlikely
Adj_that	surprising
Adj_that	true
Adj_that	surprising
Adj_that	likely
Adj_that	possible
Adj_that	vital
Adj_that	true
Adj_that	evident
Adj_that	likely
Adj_that	unlikely
Adj_that	conceivable
Adj_that	surprising
Adj_that	surprising
Adj_that	unlikely
Adj_that	evident
Adj_that	important
Adj_that	likely
Adj_that	apparent
Adj_that	instructive
Adj_that	apparent
Adj_that	clear
Adj_that	true
Adj_that	arguable
Adj_that	unlikely
Adj_that	true
Adj_that	crucial
Adj_that	logical
Adj_that	possible
Adj_that	clear
Adj_that	interesting
Adj_that	likely
Adj_that	clear
Adj_that	clear
Adj_that	important
Adj_that	ironic
Adj_that	clear
Adj_that	clear
Adj_that	curious
Adj_that	imperative
Adj_that	natural
Adj_that	true
Adj_that	clear
Adj_that	possible
Adj_that	possible
Adj_that	important
Adj_that	clear
Adj_that	likely
Adj_that	evident
Adj_that	indisputable
Adj_that	clear
Adj_that	conceivable
Adj_that	possible
Adj_that	interesting
Adj_that	accidental
Adj_that	true
Adj_that	possible
