Words	Freq_raw_that	Freq_raw_to	Freq_exp_that	Freq_exp_to	Preference	delta.p.constr1.cues.word	delta.p.word.cues.constr1	Coll_strength
clear	14	3	8.184	8.816	Adj_that	0.025	0.349	2.417
probable	11	2	6.258	6.742	Adj_that	0.021	0.37	2.124
evident	9	1	4.814	5.186	Adj_that	0.018	0.423	2.119
true	6	0	2.888	3.112	Adj_that	0.014	0.522	1.913
certain	4	0	1.926	2.074	Adj_that	0.009	0.521	1.273
correct	4	0	1.926	2.074	Adj_that	0.009	0.521	1.273
fortunate	3	0	1.444	1.556	Adj_that	0.007	0.52	0.954
unbelievable	3	0	1.444	1.556	Adj_that	0.007	0.52	0.954
uncertain	3	0	1.444	1.556	Adj_that	0.007	0.52	0.954
unfortunate	3	0	1.444	1.556	Adj_that	0.007	0.52	0.954
false	4	1	2.407	2.593	Adj_that	0.007	0.32	0.784
unlikely	9	5	6.74	7.26	Adj_that	0.01	0.164	0.766
strange	5	2	3.37	3.63	Adj_that	0.007	0.235	0.707
interesting	12	8	9.628	10.372	Adj_that	0.01	0.121	0.702
obvious	15	11	12.516	13.484	Adj_that	0.011	0.098	0.668
arguable	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
awful	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
conclusive	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
convincing	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
dubious	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
fine	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
fitting	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
insane	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
intuitive	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
noteworthy	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
okay	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
outstanding	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
sad	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
terrible	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
wonderful	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
likely	14	11	12.035	12.965	Adj_that	0.009	0.081	0.559
apparent	3	1	1.926	2.074	Adj_that	0.005	0.27	0.546
surprising	3	1	1.926	2.074	Adj_that	0.005	0.27	0.546
