Words	Freq_raw_that	Freq_raw_to	Freq_exp_that	Freq_exp_to	Preference	delta.p.constr1.cues.word	delta.p.word.cues.constr1	Coll_strength
clear	86	0	41.4	44.6	Adj_that	0.195	0.572	29.378
likely	43	1	21.182	22.818	Adj_that	0.096	0.521	12.75
unlikely	34	1	16.849	18.151	Adj_that	0.075	0.51	9.807
true	27	0	12.998	14.002	Adj_that	0.061	0.534	8.758
apparent	20	0	9.628	10.372	Adj_that	0.045	0.53	6.449
surprising	22	2	11.554	12.446	Adj_that	0.046	0.447	5.181
evident	14	0	6.74	7.26	Adj_that	0.032	0.527	4.492
obvious	9	0	4.333	4.667	Adj_that	0.02	0.524	2.876
conceivable	7	0	3.37	3.63	Adj_that	0.016	0.523	2.233
significant	6	0	2.888	3.112	Adj_that	0.014	0.522	1.913
noteworthy	5	0	2.407	2.593	Adj_that	0.011	0.521	1.593
ironic	4	0	1.926	2.074	Adj_that	0.009	0.521	1.273
imperative	8	3	5.295	5.705	Adj_that	0.012	0.249	1.047
possible	61	51	53.917	58.083	Adj_that	0.031	0.072	1.036
fitting	3	0	1.444	1.556	Adj_that	0.007	0.52	0.954
notable	3	0	1.444	1.556	Adj_that	0.007	0.52	0.954
probable	3	0	1.444	1.556	Adj_that	0.007	0.52	0.954
striking	3	0	1.444	1.556	Adj_that	0.007	0.52	0.954
axiomatic	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
doubtful	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
encouraging	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
inconceivable	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
inevitable	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
remarkable	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
self-evident	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
unthinkable	2	0	0.963	1.037	Adj_that	0.005	0.52	0.635
essential	8	5	6.258	6.742	Adj_that	0.008	0.136	0.613
plausible	2	1	1.444	1.556	Adj_that	0.002	0.186	0.326
accidental	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
arguable	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
certain	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
commonplace	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
fascinating	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
foreseeable	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
frugal	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
immaterial	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
impressive	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
incumbent	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
noticeable	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
notorious	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
