Words	Freq_raw_that	Freq_raw_to	Freq_exp_that	Freq_exp_to	Preference	delta.p.constr1.cues.word	delta.p.word.cues.constr1	Coll_strength
clear	2296	1	1148.5	1148.5	Adj_that	0.181	0.549	737.669
likely	1019	38	528.5	528.5	Adj_that	0.077	0.484	256.847
true	863	7	435	435	Adj_that	0.067	0.509	251.509
unlikely	634	12	323	323	Adj_that	0.049	0.494	172.848
surprising	703	36	369.5	369.5	Adj_that	0.053	0.465	165.027
apparent	483	0	241.5	241.5	Adj_that	0.038	0.51	147.426
evident	399	0	199.5	199.5	Adj_that	0.031	0.508	121.49
obvious	384	0	192	192	Adj_that	0.03	0.508	116.872
noteworthy	190	2	96	96	Adj_that	0.015	0.493	53.833
probable	147	0	73.5	73.5	Adj_that	0.012	0.503	44.436
doubtful	133	0	66.5	66.5	Adj_that	0.01	0.503	40.188
conceivable	134	2	68	68	Adj_that	0.01	0.488	37.119
significant	177	18	97.5	97.5	Adj_that	0.013	0.411	33.809
certain	106	2	54	54	Adj_that	0.008	0.484	28.833
inevitable	87	0	43.5	43.5	Adj_that	0.007	0.502	26.254
ironic	106	6	56	56	Adj_that	0.008	0.448	24.397
imperative	237	66	151.5	151.5	Adj_that	0.013	0.286	23.609
understandable	70	2	36	36	Adj_that	0.005	0.474	18.293
notable	59	0	29.5	29.5	Adj_that	0.005	0.501	17.79
unfortunate	55	3	29	29	Adj_that	0.004	0.449	12.97
undeniable	43	0	21.5	21.5	Adj_that	0.003	0.501	12.96
inconceivable	43	1	22	22	Adj_that	0.003	0.478	11.607
remarkable	60	7	33.5	33.5	Adj_that	0.004	0.397	11.202
arguable	35	0	17.5	17.5	Adj_that	0.003	0.501	10.546
plausible	106	33	69.5	69.5	Adj_that	0.006	0.264	9.747
improbable	32	0	16	16	Adj_that	0.003	0.501	9.641
striking	50	6	28	28	Adj_that	0.003	0.394	9.309
possible	1518	1292	1405	1405	Adj_that	0.018	0.045	5.475
axiomatic	21	1	11	11	Adj_that	0.002	0.455	5.264
fortunate	16	0	8	8	Adj_that	0.001	0.5	4.819
well-known	19	1	10	10	Adj_that	0.001	0.45	4.701
fitting	40	11	25.5	25.5	Adj_that	0.002	0.285	4.552
encouraging	15	0	7.5	7.5	Adj_that	0.001	0.5	4.517
curious	26	5	15.5	15.5	Adj_that	0.002	0.339	4.021
noticeable	13	0	6.5	6.5	Adj_that	0.001	0.5	3.915
paradoxical	13	0	6.5	6.5	Adj_that	0.001	0.5	3.915
self-evident	13	0	6.5	6.5	Adj_that	0.001	0.5	3.915
accidental	11	0	5.5	5.5	Adj_that	0.001	0.5	3.312
coincidental	11	0	5.5	5.5	Adj_that	0.001	0.5	3.312
regrettable	11	0	5.5	5.5	Adj_that	0.001	0.5	3.312
indisputable	10	0	5	5	Adj_that	0.001	0.5	3.011
vital	70	38	54	54	Adj_that	0.003	0.149	2.881
critical	136	91	113.5	113.5	Adj_that	0.004	0.1	2.787
predictable	9	0	4.5	4.5	Adj_that	0.001	0.5	2.71
paramount	7	0	3.5	3.5	Adj_that	0.001	0.5	2.108
revealing	7	0	3.5	3.5	Adj_that	0.001	0.5	2.108
unclear	7	0	3.5	3.5	Adj_that	0.001	0.5	2.108
essential	217	171	194	194	Adj_that	0.004	0.06	1.975
intuitive	6	0	3	3	Adj_that	0	0.5	1.806
untrue	6	0	3	3	Adj_that	0	0.5	1.806
well-established	6	0	3	3	Adj_that	0	0.5	1.806
amazing	17	6	11.5	11.5	Adj_that	0.001	0.239	1.762
puzzling	10	2	6	6	Adj_that	0.001	0.333	1.715
plain	8	1	4.5	4.5	Adj_that	0.001	0.389	1.71
strange	18	7	12.5	12.5	Adj_that	0.001	0.22	1.666
odd	24	12	18	18	Adj_that	0.001	0.167	1.488
alarming	7	1	4	4	Adj_that	0	0.375	1.454
intriguing	10	3	6.5	6.5	Adj_that	0.001	0.269	1.336
unthinkable	10	3	6.5	6.5	Adj_that	0.001	0.269	1.336
