Participant	Time_min	Age	Sex	Degree	Program	L1	AWEQ_GEN	AWEQ_COU	AWEQ_PUB	ResearchPurpose	Frame	Variant	Response	past_participle	Misspell_wrong_incomplete
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Is.that1	Adj-that	possible	0	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Is.that2	Adj-that	probable	0	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Is.that3	Adj-that	impossible	0	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Is.that4	Adj-that	improbable	0	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Is.that5	Adj-that	feasible	0	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Is.that6	Adj-that	likely	0	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Is.that7	Adj-that	questionable	0	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Is.that8	Adj-that	interesting	0	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Is.that9	Adj-that	disappointing	0	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Is.that10	Adj-that	proven	1	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Is.that11	Adj-that	shown	1	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Is.that12	Adj-that	demonstrated	1	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Seem.to1	Adj-to	difficult	0	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Seem.to2	Adj-to	strange	0	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Seem.to3	Adj-to	wise	0	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Seem.to4	Adj-to	good	0	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Seem.to5	Adj-to	improbable	0	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Seem.to6	Adj-to	unlikely	0	0
1	11.433	21	Male	MS	linguistics	English	5	5	5	No	Seem.to7	Adj-to	likely	0	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.that1	Adj-that	clear	0	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.that2	Adj-that	evident	0	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.that3	Adj-that	apparent	0	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.that4	Adj-that	unclear	0	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.that5	Adj-that	said	1	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.that6	Adj-that	confirmed	1	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.that7	Adj-that	stated	1	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.that8	Adj-that	certain	0	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.that9	Adj-that	uncertain	0	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.that10	Adj-that	obvious	0	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.that11	Adj-that	decided	1	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.that12	Adj-that	thought	1	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.that13	Adj-that	told	1	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.to1	Adj-to	possible	0	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.to2	Adj-to	likely	0	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.to3	Adj-to	sure	0	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.to4	Adj-to	impossible	0	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.to5	Adj-to	unlikely	0	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.to6	Adj-to	able	0	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.to7	Adj-to	unable	0	0
2	10.967	35	Female	MS	MA TESOL	English	3.4	3	3	No	Is.to8	Adj-to	evident	0	0
3	15	42	Male	Doctoral	Emvironmental health	English	3.67	4	3.33	No	Is.that1	Adj-that	possible	0	0
3	15	42	Male	Doctoral	Emvironmental health	English	3.67	4	3.33	No	Is.that2	Adj-that	expected	1	0
3	15	42	Male	Doctoral	Emvironmental health	English	3.67	4	3.33	No	Is.that3	Adj-that	shown	1	0
3	15	42	Male	Doctoral	Emvironmental health	English	3.67	4	3.33	No	Is.that4	Adj-that	reasoned	1	0
